Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
CBS,0.0,1.0,0.0,0.0,38,Tue Jun 05 23:14:42 +0000 2018,"A spectator kneeled during the national anthem at the White House's ""Celebration of America"" event, which was being… https://t.co/WoZMZ6C2tL"
CBS,0.0,1.0,0.0,0.0,39,Tue Jun 05 23:01:02 +0000 2018,A long-distance swimmer who conquered the Atlantic 20 years ago is now taking on the Pacific. @JimAxelrod has his s… https://t.co/E13IC82iGk
CBS,0.096,0.904,0.0,-0.1531,40,Tue Jun 05 22:56:37 +0000 2018,"The Miss America Organization is dropping the swimsuit competition from its nationally televised broadcast, saying… https://t.co/38TY0RYW9A"
CBS,0.0,1.0,0.0,0.0,41,Tue Jun 05 22:49:38 +0000 2018,"RT @CBSEveningNews: The government is enlisting local law enforcement in the crackdown of undocumented immigrants

Officers in 78 departmen…"
CBS,0.0,0.792,0.208,0.6369,42,Tue Jun 05 22:46:12 +0000 2018,"Kate Spade, a designer who turned her love of handbags and accessories into a multinational, multibillion dollar br… https://t.co/9sHOmgwLVd"
CBS,0.107,0.893,0.0,-0.34,43,Tue Jun 05 22:43:25 +0000 2018,New evacuations were ordered in Guatemala where the Volcano of Fire has been sending out ash and smoke. The officia… https://t.co/XtPYm1211f
CBS,0.0,0.621,0.379,0.9001,44,Tue Jun 05 22:40:36 +0000 2018,There was supposed to be a celebration today at the White House in honor of the Super Bowl champion Philadelphia Ea… https://t.co/VpoE2Gttt1
CBS,0.0,1.0,0.0,0.0,45,Tue Jun 05 22:37:44 +0000 2018,A government contractor was taken into custody at a Secret Service checkpoint when he showed up for work. He was wa… https://t.co/UHZQAqpHA0
CBS,0.0,0.888,0.112,0.4404,46,Tue Jun 05 22:29:24 +0000 2018,"RT @CBSEveningNews: We’re on the air in the East. @JeffGlor is live from Studio 57 in NYC

Thanks for being with us #OriginalReporting #CBS…"
CBS,0.078,0.534,0.388,0.8271,47,Tue Jun 05 22:00:02 +0000 2018,"""No one wants the invite anyway.""  LeBron James came out in defense of the Super Bowl champion Philadelphia Eagles… https://t.co/BZTFJLwaih"
CBS,0.0,1.0,0.0,0.0,48,Tue Jun 05 21:44:40 +0000 2018,Oprah Winfrey -- and the impact of her groundbreaking show -- is the subject of a new exhibit at the Smithsonian's… https://t.co/1gyXnA1xaK
CBS,0.192,0.524,0.284,0.0258,49,Tue Jun 05 21:29:33 +0000 2018,"""The killing of a clearly identified medical staffer by security forces during a demonstration is particularly repr… https://t.co/RvA1cdoE8Q"
CBS,0.0,0.847,0.153,0.4019,50,Tue Jun 05 21:14:56 +0000 2018,Kate Spade's globally recognized brand began with her simple wish for an unfussy handbag https://t.co/F3RgfdYvUx https://t.co/On2jDJ4bnC
